Puesto
(caba) sub-encargado de tienda abasto shopping
1178cc sales executive b2b latam - food industry
1183cc consultor/a payroll - belgrano
1211cc responsable de intendencia y mantenimiento - planta productiva - gba sur
1216cc jefe administrativo contable | empresa logística | presencial 9 de abril | gba sur
1227cc selector a full time hibrido caba belgrano
1246cc vendedora | unicenter | marca de calzado femenino
1248 cc – jefe de servicio tecnico importante empresa representante de marcas líderes ind. gráfica
1252 cc | abogado ssr especialista en derecho administrativo | destacado estudio juridico | caba
1257 cc /analista comercial- gestion financiadores /importante grupo de salud – san martín (gba)
1257 cc | analista comercial | sanatorio líder | gba san martin
1258cc ejecutivo comercial b2b | canal panaderias sector distribuidores | presencial
"1259cc // analista contable jr // saavedra, caba"
"1259cc analista contable jr - saavedra, caba"
1260cc contable sr - empresa lider en fabricacion de caños de acero - gba norte
1261cc auditor externo sr | contador público | estudio contable | caba | modalidad hibrida
1265cc category manager | rubro alimenticio | sector distribuidores | presencial
1266cc medico auditor de procesos clínico-administrativos de los servicios de importante sanatorio
1268cc analista de liquidacion de sueldos multiconvenio | modalidad hibrida | belgrano
1269cc vendedor de revestimientos | presencial | gba norte
1270cc ejecutivo comercial | abastecimeinto de obras | vicente lopez
1272cc jefe de ventas | distribuidores | consumo masivo | movilidad propia | caba
2 puestos a cubrir 5 asesores inmobiliarios y 1 captador telefónico
2025 - técnicos - tecnología
273co | hr assistant | caba
282co | sfm accountant | caba
294co | subcontractor manager | caba
297co | channel operation manager | caba
306co | service engineer | cordoba
308co | billing specialist | caba
309co | service solution sales engineer | data center solutions | caba
310co | contract commerce manager | caba
315co | jefe de gestión de flota | rubro logística | zona norte
"484be tecnico electrónico sr / automatización industrial naval / plc / scada - caba, buenos aires"
507be | especialista it ssr/sr | seguridad informatica | hibrido | caba
519be analista de facturación | administración | presencial | caba
519be analista de facturación | salud | presencial
521be encargada de local | alto palermo | calzado femenino premium | analitico en mano
523be subencargada | unicenter | marca de calzado femenino
525si vendedora | shopping | cosmética y perfumeria | zona caba
525si vendedora | shopping | importante marca dermocosmética y perfumeria
532be jefe de control de gestion financiero | transporte automotor de cargas | presencial | caba
539be encargada de local | alto avellaneda | calzado femenino premium | analitico en mano
549be administrativo | part time | microcentro | caba
560be asesor comercial y de desarrollo de mercado | industria farmacéutica | buenos aires
563be facility manager con chino | ingles | part time | entidad bancaria china lider
567 be | analista de compras | laboratorio | zona puerto madero
568 be| analista de comercio exterior | graduados | laboratorio | zona puerto madero
569be contador senior | empresa multinacional | híbrido | caba
569be contador senior | empresa multinacional | inglés avanzado | híbrido | caba
570 be | operadora/o atencion al cliente | presencial | turno tarde | caba
581be administrativo de compras y soporte operativo | idioma chino | presencial | caba |
581be administrativo de compras y soporte operativo | presencial | caba |
584si técnico mecánico/electromecánico para industria metalúrgica
584si técnico mecánico/electromecánico – mantenimiento industrial - el talar de pacheco
"598bu | ejecutivo comercial | ing. agrónomo, veterinario | chaco, corrientes capital o alrededores"
601bu | analista de inventarios | burzaco| gba sur
602bu | líder de capacitación de equipos de venta directa | burzaco | gba sur
612si gerente administracion y finanzas - empresa calzado e indumentaria - gba norte
627si | responsable de inventario | escobar | presencial
648si ingeniero alimentos o industrial / coordinador de producción empresa alimenticia - pilar
"649bu | jefe de planeamiento y operación | mano de obra intensiva, zona oeste"
"649bu | responsable de planificacion y control | empresa de seguridad privada, zona oeste"
651bu | atención al cliente interno latam | hibrido | gba sur | longchamps
"651bu | atención al cliente interno, ejecutivo post venta| hibrido | gba sur | longchamps"
654si | técnicos/as mecánicos/ electromecánicos/ electricistas - zona de trabajo florida
657si store manager | alto avellaneda | calzado e indumentaria
663si recepcionista administrativa para importante industria - zona tigre
664si programador cnc maestro con experiencia en muebles - zona norte
665si líder de calidad y desarrollo importante empresa perfumista - zona vicente lópez
666 si | responsable de marketing | full presencial | calzado e indumentaria | zona tigre
666bu | desarrollador de negocios | gba sur
667si técnico electrónico industrial para importante empresa multinacional - zona tigre
"671bu | ejecutivo de cuentas | ing. agrónomo, veterinario | bahia blanca"
671si 1er empleo ind. alimenticia producción presentarse 29/5 de 10 a 12hs san isidro
672bu | especialista sr en seguridad electrónica | gba oeste | hurlingham
672si analista de créditos y cobranzas importante empresa metalúrgica - zona san martin
673si supervisor de turno/producción para empresa líder en materiales de construcción – zona campana
674si técnico electromecánico / mantenimiento de equipos / turnos rotativos - zona campana
"675bu | jefe de planeamiento financiero | cañuelas, ezeiza, canning."
676si analista de comercio exterior / full presencial - zona tigre
679si administrativo/a de personal importante empresa nacional - zona tigre
679si analista jr de recursos humanos importante empresa nacional - zona tigre
680si vendedor técnico de productos oleohidráulica importante industria metalúrgica – zona san mart
681si analista ssr de impuestos para importante empresa líder multinacional – zona escobar
682si | representate técnico comercial | rubro construcción | zona norte | amba
684si analista jr contable importante empresa nacional – zona tortuguitas
685si | analista de controlling ssr | rubro logística | zona norte
686si | jefe operativo | rubro logística | ituzaingó
687si | coordinador de gestión operativa | rubro logística | pablo nogues
688si | coordinador de gestión operativa | rubro logística | tortuguitas
689si | planificador de mantenimiento sr | rubro logística | base pablo nogues
690si técnico electromecánico mantenimiento industrial /industria alimenticia/ turnos rotativos – z
691si analista de rrhh importante industria metalúrgica – zona san martin
[corrientes capital] se busca vendedor/a con experiencia
abastecimiento y logistica
abastecimiento y logística
abogada
abogada / estudiante avanzado para area art
abogada jr.
abogada para atencion al cliente
abogada para estudio penal
abogada previsional
abogada/o especialista en derecho laboral y accidentes de transito
abogado
abogado / procurador
abogado con experiencia en contratos y sociedades
abogado con experiencia en escribanía
abogado con experiencia en ia
abogado con experiencia en real state
abogado con matricula
abogado especialista en derecho laboral
abogado jr
abogado jr (cia. de seguros) zona oeste. pcia. ba
abogado jr.
abogado jr. área de mediaciones
abogado junior
abogado junior con experiencia en litigios laborales
abogado laboral
abogado laboral - experiencia en art
abogado notarial
abogado procesalista
abogado responsabilidad civil
abogado semi sr
abogado semisenior corporativo
abogado senior
abogado sr de compliance
abogado tributarista sr.
abogado(a) corporativo/m&a senior
abogado(a) junior corporativo/m&a
abogado(a) semi senior tax controversy
abogado/a
abogado/a -art
abogado/a con experiencia en el área de litigios (civiles y comerciales)
abogado/a con experiencia en fuero laboral y ejecución de sentencias
abogado/a con orientación en derecho público/administrativo/asuntos regulatorios
abogado/a de corporate
abogado/a de despidos (parte actora)
abogado/a de mercado de capitales banking.
abogado/a especialista en marcas
abogado/a interno caba importante art
abogado/a jr
abogado/a jr o estudiante avanzado de abogacía | depto. derecho corporativo
abogado/a jr.
abogado/a jr. y/o estudiante de abogacía– estudio jurídico laboral y civil - caba
abogado/a junior
abogado/a junior avanzado bancos y finanzas
abogado/a junior avanzado derecho minero
abogado/a junior de familia y sucesiones
abogado/a laboral
abogado/a laboral con excelente inglés oral y escrito zona caba (modalidad híbrido)
abogado/a laboral parte demandada
abogado/a laboralista
abogado/a laboralista para importante estudio juridico
abogado/a para aseguradora
abogado/a para estudio jurídico de córdoba - civil y familia
abogado/a semi senior corporate
abogado/a semi senior de familia y sucesiones
abogado/a semi senior derecho aeronautico
abogado/a semi senior litigios y arbitrajes
abogado/a senior
abogado/a senior derecho tributario
abogado/a societario
abogado/a societario jr. o estudiante avanzado
abogado/a sr
abogado/a ssr
abogados expertos profesionales en contratos para kmpg
abogados junior
academia java
accelerated command
account executive
account executive / ejecutivo de cuenta
account manager
account managers ssr/sr
account sales executive
accounting advisor
accounting jr analyst
accounting manager
accounting supervisor
accounting team leader zona sur
accounts manager ti- remoto
acompañante terapeutico para institucion hogasr con centro de dia.
acompañante terapéutico masculino
acompañante terapéutico para hogar con centro de día
"acompañante terapéutico, psicologas y fonoaudiologas"
acompañantes terapéuticos
activado de marca - cordoba capital
activador de compras
activador de materiales / abastecimietno
activador de punto de venta
activador/a de cobranzas
activador/a de transporte zona pilar
ad operation specialist
adicionista
adimistrativo/a
adm de cuentas por cobrar
adm de logística/expedición
administartivo contable
administracion
administracion / cajera
administracion contable
administracion de ventas
administracion en ventas
administracion y auditoria concesionaria reutemann automotores s.a.
"administracion, contabilidad y finanzas, responsable senior."
"administracion, recepcionista"
administracion-compras
administracion/ventas/logistica
administraciòn
administración
administración - emisiones - córdoba
administración / administración logistica
administración con foco en ventas | industria farmacéutica
administración contabilidad y finanzas
administración contable
administración de identidades y accesos microsoft
administración de personal - rrhh
administración de ventas y marketing
administración y atención al público
administrador abm de artículos
administrador de base de datos
administrador de base de datos postgres
administrador de compras tecnicas/industrial
administrador de contratos ssr
administrador de infraestructura cloud
administrador de infraestructura it
administrador de licitaciones
administrador de página web
administrador de redes sr - híbrido (dock sud)
administrador de redes y comunicaciones
administrador de sap basis - empresa multinacional
administrador de servidores
administrador de servidores - operador noc
"administrador de tecnología, informática y data center"
administrador de vmware- importante empresa financiera
administrador linux senior- importante empresa multinacional
administrador senior cloud- (remoto -argentina)
administrador unix senior - entidad gubernamental
administrador/a de data warehouse (sap dwc) - mix (on site & remoto) - 1652
administrador/a de empresa
administrador/a de infraestructura
administrador/a de infraestructura cloud - mix (on site & remoto) - 1656
administrador/a de infraestructura cloud - remoto - 1656
administrador/a de local posadas
administrador/a de operaciones y calidad importante empresa del rubro de alimentación
administrador/a general – centro de diagnóstico por imágenes
administradores comerciales
administrativa
administrativa (gestión de cobranzas)
administrativa - gba oeste
administrativa / manejo caja
administrativa auditoria medica
administrativa c/ conocimiento en comex
administrativa comercial
administrativa compras
administrativa compras exterior
administrativa con experiencia en laboratorio analisis clinicos
administrativa contable
administrativa contable - caba belgrano
administrativa contable - obra social
administrativa contable con exp en agropecuaria- microcentro
administrativa contable senior
administrativa de atención a alumnos y cobranzas
administrativa de atención al cliente
administrativa de call center
administrativa de cirugías programadas
administrativa de comercio exterior
administrativa de compras
administrativa de compras - concesionario automotriz
"administrativa de cuentas corrientes, cobranzas y facturación"
"administrativa de facturacion, cobranzas y cta cte"
administrativa de facturación
administrativa de facturación y cobranzas
administrativa de facturación zona escobar
administrativa de facturación – empresa metalúrgica - presencial - zona munro
administrativa de rrhh
administrativa de ventas
administrativa de ventas y atención al cliente | facturación y cobranzas
administrativa departamento comercial
administrativa en tareas varias en internacion domiciliaria
administrativa generalista
administrativa generalista (conocimiento manejo de caja)
administrativa generalista con foco en facturacion
administrativa jr
administrativa jr.
administrativa mar del plata
administrativa monotributista con experiencia
administrativa para area de rrhh
administrativa para concesionario automotriz
administrativa para el área de patentamiento con experiencia para concesionario
administrativa para inmobiliaria en villa urquiza
administrativa para licitaciones
administrativa para productor de seguros - escobar
administrativa para productor de seguros - zona escobar
administrativa planes de ahorro motos
administrativa senior con orientación comercial
administrativa sr.
administrativa textil
